========================================================================================================================
MÚSICA                                   | ARTISTA                        | GÊNERO               | ANO   
Cante por Nós                            | Vintage Culture & Kvsh & Bre   | Eletrônica           | 2021  
That's Why - Vintage Culture Remix       | Vintage Culture, Dashdot       | Eletrônica           | 2017  
In The Dark                              | Vintage Culture, Fancy Inc     | Eletrônica           | 2019  
Sede Pra Te Ver - Vintage Culture & Gh   | Vintage Culture, GHOSTT, , ,   | Eletrônica           | 2017  
Sede Pra Te Ver - Vintage Culture & Gh   | Vintage Culture, GHOSTT, Bre   | Eletrônica           | 2017  
Do You Remember - Vintage Culture Remi   | Vintage Culture, Joy Corpora   | Eletrônica           | 2016  
Cante por Nós                            | Vintage Culture, KVSH,         | Eletrônica           | 2018  
I Will Find                              | Vintage Culture, Rooftime      | Eletrônica           | 2018  
Why Don't U Love                         | Vintage Culture, Selva,        | Eletrônica           | 2017  
O Sol                                    | Vitor Kley                     | Pop/Vibe             | 2017  
O Sol                                    | Vitor Kley                     | Pop/Vibe             | 2017  
Deus Está Aqui                           | Vozes da Capital               | Sertanejo            | 2012  
Shut Up and Dance - Live Acoustic - 20   | WALK THE MOON                  | Pop                  | 2014  
Ber Zer Ker                              | WATEVA                         | Unknown              | 2018  
B.O. TEMPORÁRIO                          | WC no Beat, Dilsinho, ,        | Sertanejo            | 2020  
Sensacional (feat. Cacife Clandestino    | WC no Beat, Nego do Borel, ,   | Sertanejo            | 2018  
Sensacional (feat. Cacife Clandestino    | WC no Beat, Nego do Borel, M   | Trap                 | 2018  
BALANÇA (feat. Pedro Sampaio)            | WC no Beat, PEDRO SAMPAIO,     | Sertanejo            | 2020  
Angelina                                 | WIU                            | Trap                 | 2022  
Angelina                                 | WIU                            | Trap                 | 2022  
Avião no Céu                             | WIU                            | Trap                 | 2022  
Balanço de Rede                          | WIU                            | Trap                 | 1996  
Coração de Gelo                          | WIU                            | Trap                 | 2023  
Esquece Pt. 2                            | WIU                            | Trap                 | 2022  
Lealdade                                 | WIU                            | Trap                 | 2022  
Lealdade                                 | WIU                            | Trap                 | 2022  
Lágrimas de Crocodilo                    | WIU                            | Trap                 | 2021  
Minha Vida é um Filme                    | WIU                            | Trap                 | 2019  
Oração                                   | WIU                            | Trap                 | 2022  
Oração                                   | WIU                            | Trap                 | 2022  
Pitbull                                  | WIU                            | Trap                 | 2021  
Sucrilhos                                | WIU                            | Trap                 | 2019  
Mantém                                   | WIU, Matuê                     | Trap                 | 2019  
Brinca Demais                            | WIU, Matuê, Teto               | Trap                 | 2022  
Horas Iguais                             | WIU, Oruam                     | Trap                 | 2022  
Problemas de um Milionário               | WIU, Teto                      | Trap                 | 2023  
Be Quiet and Drive (Far Away)            | Wallows                        | Música               | 2005  
Party We Will Throw Now!                 | Warren G, Nate Dogg, The Gam   | G-Funk/Hip-Hop       | 2012  
100% Muito Louco - Ao Vivo               | Wesley Safadão                 | Forró/Piseiro        | 2015  
A Dama e o Vagabundo - Ao Vivo           | Wesley Safadão                 | Forró/Piseiro        | 2016  
Ar Condicionado No 15                    | Wesley Safadão                 | Forró/Piseiro        | 2017  
Ar Condicionado no 15 - Ao Vivo          | Wesley Safadão                 | Forró/Piseiro        | 2017  
Ar Condicionado no 15 - Ao Vivo          | Wesley Safadão                 | Forró/Piseiro        | 2017  
Camarote                                 | Wesley Safadão                 | Forró/Piseiro        | 2015  
Camarote - Ao Vivo                       | Wesley Safadão                 | Forró/Piseiro        | 2015  
Camarote - Ao Vivo                       | Wesley Safadão                 | Forró/Piseiro        | 2015  
Cara Lisa - Ao Vivo                      | Wesley Safadão                 | Forró/Piseiro        | 2015  
Chuvisco - Ao Vivo                       | Wesley Safadão                 | Forró/Piseiro        | 2016  
Coração Machucado - Ao Vivo              | Wesley Safadão                 | Forró/Piseiro        | 2017  
Decreto Liberado                         | Wesley Safadão                 | Forró/Piseiro        | 2017  
Decreto Liberado - Ao Vivo               | Wesley Safadão                 | Forró/Piseiro        | 2017  
Ela Domina o Ratatá Tum Tum - Ao Vivo    | Wesley Safadão                 | Forró/Piseiro        | 2016  
Eu Tô de Boa - Ao Vivo                   | Wesley Safadão                 | Forró/Piseiro        | 2015  
Fala Aqui Com a Minha Mão - Ao Vivo      | Wesley Safadão                 | Forró/Piseiro        | 2016  
Laranjinha - Ao Vivo                     | Wesley Safadão                 | Forró/Piseiro        | 2017  
Leva Eu Pra Sua Casa - Ao Vivo           | Wesley Safadão                 | Forró/Piseiro        | 2015  
Me Ame Ou Me Deixe - Ao Vivo             | Wesley Safadão                 | Forró/Piseiro        | 2015  
Mente Covarde - Ao Vivo                  | Wesley Safadão                 | Forró/Piseiro        | 2015  
Mentiu Pro Mentiroso - Ao Vivo           | Wesley Safadão                 | Forró/Piseiro        | 2015  
Muito Gelo e Pouco Whisky - Ao Vivo      | Wesley Safadão                 | Forró/Piseiro        | 2015  
Nam Nam Não (Veja Só No Que Deu) - Ao    | Wesley Safadão                 | Forró/Piseiro        | 2015  
Novinha Vai No Chão - Ao Vivo            | Wesley Safadão                 | Forró/Piseiro        | 2015  
Não Conto - Ao Vivo                      | Wesley Safadão                 | Forró/Piseiro        | 2015  
Onde Tem Ódio Tem Amor - Ao Vivo         | Wesley Safadão                 | Forró/Piseiro        | 2015  
Passatempo                               | Wesley Safadão                 | Forró/Piseiro        | 2021  
Ressaca de Saudade                       | Wesley Safadão                 | Forró/Piseiro        | 2017  
Segunda Opção - Ao Vivo                  | Wesley Safadão                 | Forró/Piseiro        | 2015  
Sou Ciumento Mesmo - Ao Vivo             | Wesley Safadão                 | Forró/Piseiro        | 2015  
Sou Ciumento Mesmo - Ao Vivo             | Wesley Safadão                 | Forró/Piseiro        | 2015  
Tim Tim - Ao Vivo                        | Wesley Safadão                 | Forró/Piseiro        | 2015  
Tá Parecendo Amor - Ao Vivo              | Wesley Safadão                 | Forró/Piseiro        | 2015  
Tô Mentindo - Ao Vivo                    | Wesley Safadão                 | Forró/Piseiro        | 2015  
Tô Nem Aí - Ao Vivo                      | Wesley Safadão                 | Forró/Piseiro        | 2015  
Vai No Cavalinho (Vai No Cavalim)        | Wesley Safadão                 | Forró/Piseiro        | 2014  
Vem Pro Meu Lounge (Ao Vivo)             | Wesley Safadão                 | Forró/Piseiro        | 2022  
Vem Ser Feliz Com Eu - Ao Vivo           | Wesley Safadão                 | Forró/Piseiro        | 2015  
Vou Dar Virote - Ao Vivo                 | Wesley Safadão                 | Forró/Piseiro        | 2015  
Vou Pagar Pra Ver - Ao Vivo              | Wesley Safadão                 | Forró/Piseiro        | 2015  
Covardia                                 | Wesley Safadão, Ana Castela    | Forró/Piseiro        | 2023  
Romance Com Safadeza                     | Wesley Safadão, Anitta         | Forró/Piseiro        | 2018  
Disco Voador - Ao Vivo                   | Wesley Safadão, Banda Garota   | Forró/Piseiro        | 2012  
Escravo do Amor - Ao Vivo                | Wesley Safadão, Banda Garota   | Forró/Piseiro        | 2012  
Vou Pagar Pra Ver                        | Wesley Safadão, Banda Garota   | Forró/Piseiro        | 2014  
Tentativas em Vão - Ao Vivo              | Wesley Safadão, Bruno & Marr   | Forró/Piseiro        | 2020  
Sou Ciumento Mesmo (feat. Fernando & S   | Wesley Safadão, Fernando & S   | Forró/Piseiro        | 2014  
Parece Que o Vento                       | Wesley Safadão, Ivete Sangal   | Axé/Pop              | 2015  
Parece Que o Vento - Ao Vivo (Faixa Bô   | Wesley Safadão, Ivete Sangal   | Axé/Pop              | 2015  
Você Não Me Esqueceu (Nem Muito Menos    | Wesley Safadão, Jorge          | Forró/Piseiro        | 2015  
Psiquiatra do Bumbum (Bumbum Endoidado   | Wesley Safadão, Léo Santana    | Forró/Piseiro        | 2018  
Ninguém É de Ferro                       | Wesley Safadão, Marília Mend   | Forró/Piseiro        | 2017  
Meu Coração Deu PT - Ao Vivo             | Wesley Safadão, Matheus & Ka   | Forró/Piseiro        | 2018  
Meu Coração Deu PT - Ao Vivo             | Wesley Safadão, Matheus & Ka   | Forró/Piseiro        | 2018  
Jeito Safado - Ao Vivo                   | Wesley Safadão, Márcia Felli   | Forró/Piseiro        | 2016  
Ele É Ele, Eu Sou Eu                     | Wesley Safadão, Os Barões Da   | Forró/Piseiro        | 2020  
Solteiro de Novo - Ao Vivo               | Wesley Safadão, Ronaldinho G   | Forró/Piseiro        | 2016  
Vou Pagar Pra Ver                        | Wesley Safadão, Xand           | Forró/Piseiro        | 2014  
Euro$tep                                 | West                           | Sertanejo            | 2024  
Black and Yellow                         | Wiz Khalifa                    | Hip-Hop/Rap          | 2011  
See You Again                            | Wiz Khalifa                    | Hip-Hop/Rap          | 2015  
Young, Wild & Free                       | Wiz Khalifa                    | Hip-Hop/Rap          | 2011  
See You Again (feat. Charlie Puth)       | Wiz Khalifa, Charlie Puth      | Hip-Hop/Rap          | 2015  
XTRANHO                                  | XTRANHO                        | Sertanejo            | 2025  
BAD!                                     | XXXTENTACION                   | Hip-Hop/Rap (speci   | 2018  
Everybody Dies In Their Nightmares       | XXXTENTACION                   | Rap                  | 2017  
Hope                                     | XXXTENTACION                   | Rap                  | 2017  
Revenge                                  | XXXTENTACION                   | Rap                  | 2023  
the remedy for a broken heart (why am    | XXXTENTACION                   | Rap                  | 2019  
Fuck Love                                | XXXTENTACION, Trippie Redd     | Rap                  | 2020  
Look At Me!                              | XXXTentacion                   | Música               | 2017  
SAD!                                     | XXXTentacion                   | Música               | 2019  
Luxúria                                  | Xamã, Bagua Records, Neo Bea   | Hip-Hop/Rap          | 2018  
A Lista                                  | Xand Avião                     | Forró/Piseiro        | 2024  
De Mãos Atadas                           | Xand Avião                     | Forró/Piseiro        | 2017  
Faz o X - Ao Vivo                        | Xand Avião                     | Forró/Piseiro        | 2017  
Inquilina                                | Xand Avião                     | Forró/Piseiro        | 2017  
Inquilina - Ao Vivo                      | Xand Avião                     | Forró/Piseiro        | 2017  
Loucaça                                  | Xand Avião                     | Forró/Piseiro        | -     
Nota Dez                                 | Xand Avião                     | Forró/Piseiro        | 2018  
Uber                                     | Xand Avião                     | Forró/Piseiro        | 2017  
Quantas Bocas - Ao Vivo                  | Xand Avião, Felipe Amorim      | Forró/Piseiro        | 2024  
Se Organizar Todo Mundo Pega             | Xand Avião, Lucas Lucco,       | Forró/Piseiro        | 2017  
Follow the Sun                           | Xavier Rudd                    | Folk, World, & Cou   | 2012  
Follow the Sun                           | Xavier Rudd                    | Folk                 | 2012  
Lalala                                   | Y2K, bbno$                     | Pop                  | 2019  
Murder on My Mind                        | YNW Melly                      | Música               | 2018  
Suicidal                                 | YNW Melly                      | Trap                 | 2020  
Lalala                                   | Ylona Garcia                   | Música               | -     
Solid (feat. Drake)                      | Young Stoner Life, Young Thu   | Hip-Hop/Rap          | 2021  
Gang Up (with Young Thug, 2 Chainz & W   | Young Thug, 2 Chainz, ,        | Trap/Rap             | 2017  
Beautiful Tonight                        | Yves V, Sevenn                 | Dance                | 2018  
Dusk Till Dawn (feat. Sia) - Radio Edi   | ZAYN, Sia                      | Pop                  | 2017  
I Don’t Wanna Live Forever (Fifty Shad   | ZAYN, Taylor Swift             | Pop                  | 2016  
Clouds                                   | Zach Sobiech                   | Música               | 2012  
Stay                                     | Zedd, Alessia Cara             | Eletrônica           | 2017  
Stay (with Alessia Cara)                 | Zedd, Alessia Cara             | Eletrônica           | 2017  
The Middle                               | Zedd, Maren Morris,            | Eletrônica           | 2018  
Live in the Moment                       | Zeeba                          | Sertanejo            | 2018  
Flores em Vida                           | Zezé Di Camargo & Luciano      | Sertanejo            | 1991  
Tô Caindo Fora                           | Zé Cantor, Jonas Esticado      | Forró/Piseiro        | 2018  
Volta Pra Mim - Ao Vivo                  | Zé Cantor, NATTAN              | Forró/Piseiro        | 2023  
Vacilão                                  | Zé Felipe, Igow,               | Sertanejo            | 2023  
Largado As Traças - Acústico             | Zé Neto & Cristiano            | Sertanejo            | 2018  
Textão - Ao Vivo                         | Zé Neto & Cristiano            | Sertanejo            | 2018  
Bateria Acabou - Ao Vivo                 | Zé Neto & Cristiano,           | Sertanejo            | 2018  
A Recaída                                | Zé Vaqueiro                    | Forró/Piseiro        | 2021  
Cadê o Amor                              | Zé Vaqueiro                    | Forró/Piseiro        | 2021  
Chegou Um Áudio                          | Zé Vaqueiro                    | Forró/Piseiro        | 2023  
Me Chamando Pra Fazer                    | Zé Vaqueiro                    | Forró/Piseiro        | 2021  
Você Conta ou Eu Conto                   | Zé Vaqueiro                    | Forró/Piseiro        | 2021  
Volta Comigo BB                          | Zé Vaqueiro                    | Forró/Piseiro        | 2021  
Jorge & Mateus                           | Zé Vaqueiro, Felipe Amorim     | Forró/Piseiro        | 2023  
Eu Me Rendo (feat. Iguinho e Lulinha)    | Zé Vaqueiro, Iguinho e Lulin   | Forró/Piseiro        | 2023  
Consciência Limpa - Ao Vivo              | Zé Vaqueiro, NATTAN            | Forró/Piseiro        | 2024  
What's My Age Again?                     | blink-182                      | Pop Punk             | 1999  
Tu és + Águas Purificadoras - Ao vivo    | fhop music, Débora Rabelo, H   | Sertanejo            | 2024  
Colossenses e Suas Linhas de Amor        | fhop music, Marco Telles       | Sertanejo            | 2022  
We Are Young                             | fun.                           | Música               | 2011  
Espinafre                                | golden boy, rkzinkkj           | N/A                  | -     
By the Sword                             | iamjakehill                    | Rap                  | 2020  
Cabelos Arco-Íris                        | kamaitachi                     | Indie/Alternativo    | 2017  
MMM                                      | martoven, DJAMMAL              | Sertanejo            | 2021  
RAPSTAR                                  | polo g                         | Música               | 2021  
Eu Volto (8D) - Remix                    | rphv                           | Eletrônica/Dance     | 2021  
Miss Me - Slowed + Reverb                | trxndsetter, svmy              | Trap                 | 2021  
FUCK IT                                  | xryce                          | Unknown              | 2021  
Bitches Brew                             | ✝✝✝ (Crosses)                  | Electronic Rock      | 2014  
The Nosebleed Section                    | フーリガン                          | Música               | 2023  
八方來財(Stacks from All Sides)              | 攬佬SKAI ISYOURGOD               | 未知                   | 2024  
